Name,Tags,Beispiele für {...},implementiert,Fehlerliste
Zeige alle Kurse an,/,,implementiert,
Zeuge Kurse mit Datenbank ID an,/{databaseID},,implementiert,
Zeige Kurse aus Studienkategorie an,/courses?category={category},"Atelier,Elementares Gestalten,Interfacedesign,Kommunikationsdesign,Produktdesign,Werkstatt",implementiert,
Zeige Kurse nach Lehrperson an,/courses?teacher={teacher},,implementiert,
Zeige Kurse nach Modul an,/courses?correspondingModule={...},"Basis,Visual Interfaces,Zeichnen",,
Zeige Kurse nach Modul ID an,/courses?moduleId={...},"11At-Z,11EG-B",implementiert,
Sortierung aller oben genannten Tags,"/courses?sort_asc={...},/courses?sort_desc={...}",,implementiert,
,,,,
Zeige alle einmaligen Metadaten an,/meta/{...},"category,moduleId,teacher,title,workspace",implementiert,
Konkatenation aus mehreren Queries,,,nicht implementiert,
